菜谱名称,原料
蛋花丝瓜汤,"蛋黄,丝瓜"
馄饨,"馄饨皮,鲜虾仁,蛋清"
海蜇汤菜,"海蜇,鸡蛋"
三色鲜贝,"鲜贝,蛋清,油菜叶"
夹馅黄瓜,"黄瓜,韭菜,火腿肠"
萝卜丝糕,"面粉,萝卜"
鸽蛋龙须面,"鸽蛋,龙须面,生菜,海米,香菜"
熘黄瓜,嫩黄瓜
熘莲鱼丁,"鲜莲子,青鱼"
香菇烧茭白,"香菇,茭白"
莼菜汤,莼菜
炸鸭脯,鸭脯肉
三丝炒豆芽,"青红黄柿子,绿豆芽"
皮蛋瘦肉粥,"皮蛋,瘦肉,水发腐竹,大米,麦片"
枣卷,
珍珠丸子,"猪肉馅,黑木耳,鸡蛋,糯米,淀粉"
香菇豆腐汤,"鲜豆腐,香菇,黑木耳,西红柿,黄瓜,蛋清"
绿豆饭,
蒸茄条,长茄子
糖醋鱿鱼,鱿鱼
荠菜蛋花汤,"荠菜,鸡蛋"
烤茄子,茄子
鸡丝炒豇豆,"鸡脯肉,豇豆"
鸽蛋银耳羹,鸽蛋
香芹腐竹,"嫩芹菜,水发腐竹"
素炒彩丁,
香菇鸡肝汤,"鸡肝,泡发香菇"
麻酱米粉,宽条米粉
五香兔肉,兔肉
青豆茄片,"长茄子,鲜青豆"
乌梅枣粥,"乌梅,大枣,大米"
排骨冻,"猪肉皮,猪排骨"
拌茭白,嫩茭白
芝麻肉条,"猪肉,鸡蛋,面粉,芝麻"
烩鸡翅,鸡翅
西红柿生菜汤,"西红柿,生菜,豆腐"
鳜鱼卷,鳜鱼条
素炒花丁,"花菜,莴苣,胡萝卜,土豆"
夹馅面筋,"面筋泡,猪肉,白菜叶"
拌胡萝卜丝,"胡萝卜,蒜苗"
虾仁烩碗豆,"鲜碗豆,虾仁"
三丝汤,"熟火腿,蛋黄"
香肠焖饭,"香肠根,土豆,大米"
锅贴,"面粉,猪肉,虾肉,白菜,鸡蛋"
生菜豆腐汤,"生菜,豆腐,海米"
炸藕夹,"鲜藕,猪肉,香菇,鸡蛋,面粉"
肉末烧菜花,"瘦猪肉,菜花"
五彩鸡肉卷,"鸡胸肉,松仁,咸鸭蛋黄,鸡蛋清,嫩豌豆,胡萝卜半根"
烧三冬,"冬菇,冬笋,冬瓜,虾仁"
芦笋海带汤,"芦笋,海带丝"
三鲜水饺,"嫩鲜藕,香菇,猪肉,鸡蛋"
白果烧鸡,"净仔母鸡,白果,清汤,猪化油,鸡化油,姜,大蒜,料酒各,胡椒粉,胡萝卜各,盐,味精,湿淀粉。"
扁豆沙拉,"扁豆,洋葱,精盐,生菜油,胡椒粉。"
玻璃蛋糕,"牛奶,蛋黄,砂糖,玉米淀粉,白脱,琼脂,吉士粉。制奶黄淇淋材料比例：牛奶:蛋黄:砂糖:玉米淀粉:白脱:琼脂:吉士粉=::::.:.:.。糕胚:奶黄淇淋:透明琼脂=::。"
菠菜色拉,"鸡蛋,新鲜菠菜,熏肉,陈醋,脆面包/条,法国长面包,橄榄油汤匙,蒜头一粒。"
菠萝蛋糕,"砂糖,液体葡萄糖,蛋白,水,杏仁粉,白脱油。制杏仁糖团：砂糖:液体葡萄糖:蛋白:水:杏仁粉=:.:.:.:.。"
菠萝酥,"菠萝,糖,白脱,淀粉。净制菠萝馅：菠萝丁:糖:白脱:淀粉=:.:.:.。"
菠萝珍宝饭,"菠萝红,萝卜,糯米饭,玉米粒,香菇,比其,素火腿,豌豆,椰子乳,橄榄油,盐,咖哩。"
薄荷及香菜酱,"薄荷叶,碎,香菜鲜碎,洋葱细丁,辣椒粉,黑胡椒,盐,摆酸奶,蜂蜜,醋。"
苍鹰搏兔,"兔,去骨,净的,切成块,鸭子,去骨和皮,切成块,兔肝,白兰地,黑胡椒,碎,盐,百里香,鲜碎,猪肘,去骨,净的,切成块,猪背油,块,油,洋葱,大蒜,酱,混合(四)：酱料,豆蔻,丁香及桂皮,白酒,香叶,鸡蛋,法香,碎,李子,去壳的,火腿,肥的,猪油,牛奶,鸡汤毫"
草莓奶油卷,"草莓酱,草莓泥。糕胚制法：蛋:面粉:糖:水:色拉油:乳化剂=:.:.:.:.。"
炒带子西兰花,"冻带子,花生油,鲜姜,蒜,碎,洋葱片,西兰花,焯过的,胡萝卜条,芹菜,片丝,蘑菇,/的,鱼汤,辣豆腐,红豆腐,鹰栗粉.,蚝油汁,白米饭包,小葱细碎,芝麻籽黑烤的。"
炒面条配蔬菜豆腐,"豆腐,酱油,大蒜,碎,姜,鲜碎,芝麻,烤的,紫菜皮.,橙味汁,芝麻油,河粉,焯冷,胡萝卜丝,红甜椒,丝,豆芽,小春葱片,香菜,碎。"
脆皮烤肉,"带皮猪腿肉（长方形整块肉）,水公升,洋葱,月桂叶-片,面粉-.大勺,精盐,胡椒末。"
大米泥子汤,"大米,清汤亳升,葱头（切碎）,黄油或植物油,面粉,鸡蛋黄,牛奶或奶油,盐和胡椒粉。"
大米咸猪肉汤,"大米,猪肉（切丁）,土豆（去皮,切丁）,汤或水,大蒜（切碎）,盐,胡椒粉,香菜（切碎）。"
